dataset,quantity,n,rmse,mae,bias,r2,slope,intercept
replay_mh0_omat_pbe,energy_per_atom_eV,9777,0.06538609936330468,0.03246532264880796,-0.004297817918980518,0.9989247564693431,0.9987198375250755,-0.011565588690087385
replay_mh0_omat_pbe,forces_eV_per_A,263907,0.19233895740993204,0.10164037674169309,-1.5994270702253316e-10,0.9710197386818956,0.9493958937404914,-1.5993879816949813e-10
replay_mh0_omat_pbe,stress_diag_eV_per_A3,29331,0.019470295815322107,0.008753994878483152,0.0009865173127617064,0.9262814670727848,0.933540917281836,0.00012535414080010182
replay_mh0_omat_pbe,stress_offdiag_eV_per_A3,58662,0.008324045380277848,0.002621872172849983,2.4777259256756476e-06,0.9435562790664027,0.9590374123563272,2.3273183920918763e-05
dielectric_filtered_valid_test,polarizability_diag,3165,8.180520411827409,2.0744792100493563,-1.8773378463245343,0.6018396290633066,0.4816581740644083,3.4360378600487644
dielectric_filtered_valid_test,polarizability_offdiag,6330,0.8949795509796997,0.09016881804021898,-0.009529501293134944,0.13011610741113633,0.12084133190431438,-0.015373487323259317
dielectric_filtered_valid_test,bec_diag_e,50748,0.6554220429186084,0.34096160179080953,0.0001727692795775204,0.9406409112573665,0.87619367153065,0.00015137911861204286
dielectric_filtered_valid_test,bec_offdiag_e,101496,0.32352523755430607,0.0932914727466107,-4.009073559548748e-06,0.596962268337909,0.6163727048071325,-2.471026553172619e-06
ferroelectric_valid_test,polarization_uC_per_cm2,1521,14.854523521176247,2.9771585251396635,0.4243085732987321,0.024284792464642102,0.09130563839635876,0.40795759614259997
