kind,element,n,median_abs_residual,max_abs_residual
diag,O,9615,0.1148536499999997,34.27907175
diag,N,7134,0.27634131500000003,10.63677801
diag,S,3444,0.24857959000000007,8.773986859999999
diag,Se,2586,0.2575131099999999,6.5919448
diag,Cl,2346,0.20145505999999996,9.48486407
diag,P,2106,0.2602298200000001,6.020666449999999
diag,Te,1716,0.34638830500000006,6.5420675
diag,Br,1674,0.21903787499999997,1.78743281
diag,F,1662,0.12203005999999994,7.147100679999999
diag,I,1593,0.24219680999999998,2.48289352
diag,Si,1539,0.17574049999999986,3.5149220100000003
diag,Na,1404,0.25214656999999996,1.7158120599999998
diag,Li,1380,0.10047604999999998,2.05623242
diag,Ca,1362,0.3822943500000001,11.27925855
diag,As,1347,0.33171832,175.39559738
diag,Sb,1269,0.33896073000000015,3.83135162
diag,K,1248,0.24190505500000004,6.53436317
diag,Cs,1239,0.2582368100000001,16.325422930000002
diag,H,1215,0.07745215999999994,0.5600937399999999
diag,Ba,1191,0.3831630500000003,9.88939108
diag,Ge,1167,0.2924621999999999,6.360287319999999
diag,Zn,1086,0.43565330999999996,3.83638152
diag,Mg,1083,0.4283827499999999,6.150554059999999
diag,Sr,1050,0.38285022000000013,3.96286906
diag,Rb,987,0.25698511,8.2178308
diag,C,951,0.14718410999999998,4.0476554799999995
diag,Cu,768,0.19524897500000002,15.94781139
diag,B,759,0.18815814999999997,2.61320721
diag,Sn,723,0.33755135999999997,7.418719200000001
diag,Ga,663,0.3250127300000001,3.03117912
diag,Al,645,0.20144603999999977,4.73798502
diag,W,615,0.3846265200000003,4.320114729999999
diag,Nb,606,0.53759991,192.16234969
diag,Ag,597,0.18876420000000005,4.63197316
diag,Ta,594,0.271966175,12.97408913
diag,Y,588,0.29734024000000003,34.05775502
diag,Tl,567,0.5135347100000001,7.32084766
diag,Bi,558,0.5565034349999998,3.6656787800000004
diag,Cd,552,0.51077315,4.08634447
diag,Ti,531,0.23602762,2.0681347800000003
diag,Hg,519,0.48141330000000004,2.0258980600000003
diag,Sc,513,0.28044652999999986,4.37399978
diag,Re,510,0.99787117,12.260958440000001
diag,Mo,495,0.32303719,4.6952899200000004
diag,Au,486,0.18725783999999998,1.89539302
diag,Fe,477,0.57416354,11.61403961
diag,Pt,474,0.220266835,7.6473625400000005
diag,Hf,456,0.5823136749999995,2.4268326799999995
diag,Zr,453,0.46763113,6.71154636
diag,In,453,0.42146466000000027,4.57087593
diag,V,438,0.30240956500000005,5.752003329999999
diag,Pb,435,0.7627623700000004,6.997110390000001
diag,La,417,0.2010641900000001,9.7098367
diag,Be,417,0.12941044999999995,1.20020372
diag,Co,414,0.29486704499999994,1.7665476499999997
diag,Mn,399,0.4705817899999998,3.98982191
diag,Ni,390,0.19942533499999998,7.8831397700000005
diag,Os,384,0.37165823499999995,10.10956098
diag,Ir,381,0.28002098,9.08422474
diag,Rh,360,0.31740921499999986,2.75541296
diag,Cr,342,0.3592865150000004,4.44483855
diag,Pd,297,0.17305952000000002,6.76145209
diag,Ru,291,0.45964237999999913,7.08873602
diag,Tm,240,0.17545707999999993,2.04221425
diag,Er,219,0.18691616999999994,2.48358987
diag,Sm,213,0.20897039999999967,6.866266899999999
diag,Pr,192,0.33662265,1.28828661
diag,Nd,183,0.2203750000000002,4.59493441
diag,Dy,165,0.23055039000000033,0.5610554699999999
diag,Tb,165,0.22759617999999993,1.7839179500000002
diag,Ho,132,0.17380898500000042,0.6176367800000002
diag,Lu,117,0.13057720000000028,0.57219943
diag,Ce,60,0.5595209249999997,11.00390037
diag,Tc,60,0.32647435499999977,0.77363809
diag,Th,60,0.13055368499999975,2.2752461700000004
diag,Xe,39,0.40158463000000033,0.51332778
diag,U,27,0.3912544699999998,2.2707356
diag,Gd,24,0.20988847500000007,0.2462730599999996
offdiag,O,19230,0.03872204,4.93401032
offdiag,N,14268,0.09624972500000001,9.46007955
offdiag,S,6888,0.038846379999999986,4.37912328
