frame_index,material_id,formula,n_atoms,ref_bec_asr_max_abs,pred_bec_asr_max_abs
947,mp-27517,Co2I8Rb4,14,7.040400000000001,2.500000001459668e-07
162,mp-22945,Cl2Rh2Te2,6,6.69166,4.899999999086191e-07
333,mp-27948,Bi2GeTe4,7,5.320600000000004,6.999999984103056e-07
1361,mp-17186,Al4As12Ca12,28,4.199080000000016,8.200000012337227e-07
1085,mp-8211,Ga2Ge2Te2,6,4.043810000000001,7.400000006096974e-07
549,mp-18300,Al4Ca12Sb12,28,1.803519999999999,1.000000006357027e-06
1216,mp-867266,CaMgTl2,4,1.5379700000000014,1.8000000012730055e-07
747,mp-574338,Cs3Ga9,12,1.5342400000000007,3.500000004263981e-07
1088,mp-9383,HfN2Sr,4,1.3893300000000002,1.6700000005087645e-06
1423,mp-754172,La6N6O8Ti4,24,1.3755600000000032,2.8500000053277574e-06
490,mp-554769,Br16Mo16S16,48,1.2896800000000077,3.099999997258074e-07
11,mp-31493,Ga9Rb3,12,1.2620600000000002,1.9000000017754815e-07
1261,mp-12411,Ge4Li8Zn4,16,1.0992000000000006,6.899999993592587e-07
854,mp-9947,C7Si7,14,1.0239800000000012,1.6800000000039006e-06
852,mp-938,GeTe,2,1.0008499999999998,4.799999997473492e-07
109,mp-602,Mo2Te4,6,0.9479900000000003,7.099999996817985e-07
195,mp-684798,Ag8Te4,12,0.8155599999999983,5.999999994621419e-07
