label,trajectory,n_frames,temperature_K,timestep_fs,polar_axis,epsilon_inf_avg,epsilon_inf_parallel,epsilon_inf_perpendicular,epsilon_ion_avg,epsilon_ion_parallel,epsilon_ion_perpendicular,epsilon_0_avg,epsilon_0_parallel,epsilon_0_perpendicular,reference_peak_source,omega_1_cm-1,omega_2_cm-1,omega_3_cm-1
omat,/home/brad/repositories/2025-04-mace-field/scripts/LAMMPs/MD/runs/SiO2-mp-7000-sc1x1x1-300K-200ps-2026-05-03_101733/SiO2-mp-7000/production.annotated.extxyz,100001,301.2255156727978,2.000000000000668,c,2.597087862390257,2.6401537832103408,2.5755549019802153,2.738503358943184,2.9738310263393872,2.620839525245083,5.335591221333441,5.613984809549728,5.196394427225298,broadened_IR_magnitude,1006.5195920645032,403.77529948436825,731.1651850224991
direct,/home/brad/repositories/2025-04-mace-field/scripts/LAMMPs/MD/runs/SiO2-mp-7000-sc1x1x1-300K-200ps-2026-05-03_101749/SiO2-mp-7000/production.annotated.extxyz,100001,300.3372468406271,2.000000000000668,c,2.3985778314858446,2.4288325880784045,2.383450453189565,2.377585822311729,2.5912081531499243,2.2707746568926312,4.776163653797574,5.020040741228328,4.654225110082196,broadened_IR_magnitude,1042.377373720488,424.2892861991874,763.0202375633971
