label,run_dir,model_name,head,available_field_axes,eps_inf_x,eps_inf_y,eps_inf_z,eps_inf_parallel,eps_inf_perpendicular,eps_0_x,eps_0_y,eps_0_z,eps_0_parallel,eps_0_perpendicular,P0_x_uC_cm2,P0_y_uC_cm2,P0_z_uC_cm2,deltaP_x_uC_cm2,deltaP_y_uC_cm2,deltaP_z_uC_cm2,static_note
omat,/home/brad/repositories/2025-04-mace-field/scripts/LAMMPs/MD/runs/SiO2-mp-7000-sc1x1x1-dielectric-relax-2026-05-04_153401/SiO2-mp-7000,MACEField-omat-dielectric.model,pt_head,x y z,2.5728763341903687,2.578224778175354,2.6437751054763794,2.6437751054763794,2.5755505561828613,5.101517348310798,3.476870958482545,4.033543614352213,4.033543614352213,4.2891941533966715,0.4971840952575506,-0.03311819560095872,0.05697714095855262,0.8140663177505221,0.2893085981276443,0.4474196717637758,
direct,/home/brad/repositories/2025-04-mace-field/scripts/LAMMPs/MD/runs/SiO2-mp-7000-sc1x1x1-dielectric-relax-2026-05-04_153404/SiO2-mp-7000,MACE-field-SiO2.model,pt_head,x y z,2.3588762283325195,2.3557169437408447,2.4071890115737915,2.4071890115737915,2.357296586036682,4.524146393674716,3.069138204034064,3.436700618890942,3.436700618890942,3.79664229885439,0.4557150091135333,-0.028770605957280256,0.023711706954910202,0.697083334720931,0.2296776075088125,0.33143918752010687,
