frame_index,formula,relaxed,force_converged,fmax_before,fmax_after,min_eig,hessian_asr,bec_asr,keep
0,N2,False,True,1.6964040696620941e-06,1.6964040696620941e-06,-3.752577359961151e-09,3.2782554626464844e-07,0.00104,True
1,Br2I2,False,True,0.04448050260543823,0.04448050260543823,-0.15513326227664948,1.6689300537109375e-06,0.003530000000000477,False
2,F14I2Xe2,False,False,0.2442227005958557,0.2442227005958557,3.543039639453127e-08,1.576542854309082e-05,4.0000000001483293e-05,False
3,F12Xe4,False,False,0.284443199634552,0.284443199634552,-0.027418041601777077,8.58306884765625e-06,3.999999999998449e-05,False
4,S32,False,False,0.18775013089179993,0.18775013089179993,-0.05150764435529709,1.1876225471496582e-05,0.01754999999999976,False
5,CN2,False,False,0.8137865662574768,0.8137865662574768,-1.7487848253949778e-06,3.4332275390625e-05,1.0000000000065512e-05,False
6,C8,False,True,1.481559593230486e-05,1.481559593230486e-05,-2.4263486011477653e-06,1.9073486328125e-05,0.00032,True
7,Au4Cl12,False,False,0.381306529045105,0.381306529045105,-4.869869396628701e-09,1.5735626220703125e-05,4.000000000020654e-05,False
8,Au4Br4,False,False,0.11569949984550476,0.11569949984550476,-0.06717324256896973,1.3828277587890625e-05,0.00829000000000013,False
9,Cl6W,False,False,0.06361645460128784,0.06361645460128784,-2.5185741492350644e-07,5.841255187988281e-06,0.006489999999999552,False
10,O8W4,False,False,0.14533337950706482,0.14533337950706482,-3.314039247470646e-07,5.6743621826171875e-05,0.006709999999995997,False
11,Se2W,False,False,0.06966957449913025,0.06966957449913025,6.350062449200777e-07,1.9825529307127e-06,1.0000000000000026e-05,False
12,Br2F12Pb7,False,False,0.21822655200958252,0.21822655200958252,-1.9670774936676025,6.251344984775642e-06,2.0000000003017604e-05,False
13,I8Pb4,False,False,0.10867312550544739,0.10867312550544739,-5.204986308626758e-08,4.323636858316604e-06,0.0051400000000002555,False
14,Cl6Rh2,False,False,0.07723083347082138,0.07723083347082138,-3.4321433872719354e-07,8.821487426757812e-06,0.05180000000000001,False
15,Rh8S12,False,False,0.19140785932540894,0.19140785932540894,-1.7412232011793094e-07,2.002716064453125e-05,0.031199999999998784,False
16,PtS2,False,False,0.1030941754579544,0.1030941754579544,-4.81254232909123e-07,4.020752385258675e-06,0.0022999999999999687,False
17,F8Ru2,False,False,0.21683967113494873,0.21683967113494873,-1.0958048051179503e-06,1.996755599975586e-05,2.000000000035307e-05,False
18,Cl12Pd6,False,False,0.16974851489067078,0.16974851489067078,-0.07555995136499405,9.804964065551758e-06,0.08436999999999983,False
19,O8Os2,False,False,0.323386013507843,0.323386013507843,-0.2972111701965332,1.537799835205078e-05,2.0000000001685336e-05,False
20,F6Ir2,False,False,0.18973374366760254,0.18973374366760254,-9.165433993985062e-07,8.58306884765625e-06,0.0033800000000004105,False
21,Cl6Ir2,False,False,0.0707399770617485,0.0707399770617485,5.828438887078846e-08,6.67572021484375e-06,0.05935999999999986,False
22,Ir8S16,False,False,0.7363448739051819,0.7363448739051819,-3.8954667047619296e-07,1.9073486328125e-05,4.0000000006923386e-05,False
23,C18H36O18,False,False,0.23660704493522644,0.23660704493522644,-1.6252929526672233e-06,3.0517578125e-05,6.000000000003225e-05,False
24,H2,False,True,9.412592589796986e-07,9.412592589796986e-07,-0.43438440561294556,1.571703052150042e-07,0.00014000000000000001,False
25,P4Pb4Se12,False,False,0.1875283569097519,0.1875283569097519,-0.8556784987449646,2.0325183868408203e-05,3.9999999999845715e-05,False
26,Os2P4,False,False,0.20432844758033752,0.20432844758033752,-8.424892712355359e-07,2.5391578674316406e-05,0.007120000000000459,False
27,P12Ru3,False,False,0.35179540514945984,0.35179540514945984,-6.016933298269578e-07,3.4809112548828125e-05,0.006219999999999004,False
28,As4Ru4Se4,False,False,0.12000653892755508,0.12000653892755508,-2.166294734706753e-07,3.340095281600952e-05,4.000000000026205e-05,False
29,As4Os4S4,False,False,0.28187084197998047,0.28187084197998047,-2.1423043961021904e-07,4.152953624725342e-05,4.000000000026205e-05,False
30,As4Ir4Se4,False,False,0.15311843156814575,0.15311843156814575,-3.5951936183664657e-07,3.2395124435424805e-05,3.9999999999151825e-05,False
31,As8Se12,False,False,0.2645382881164551,0.2645382881164551,-1.0790913052005635e-07,1.1239200830459595e-05,0.058820000000000205,False
32,F6Mo,False,False,0.36738380789756775,0.36738380789756775,-1.0838615480679437e-06,1.33514404296875e-05,0.018309999999999493,False
33,Mo4S8,False,False,0.12957045435905457,0.12957045435905457,-0.1783132702112198,1.4692544937133789e-05,1.0000000000010868e-05,False
34,MoSe2,False,False,0.06283002346754074,0.06283002346754074,-1.6711273076452926e-07,3.27348243445158e-06,9.999999999843467e-06,False
35,MoSe2,False,False,0.09178633242845535,0.09178633242845535,-5.986047995065746e-07,7.152557373046875e-06,0.004789999999999961,False
36,Se2Te,False,False,0.28120070695877075,0.28120070695877075,-2.2407922744750977,1.4722347259521484e-05,1.0000000000065512e-05,False
37,Au4I4Te4,False,False,0.2432636022567749,0.2432636022567749,-0.4210529625415802,6.288290023803711e-06,4.0000000002482494e-05,False
38,I8Te8,False,False,0.4578167200088501,0.4578167200088501,-3.252668619155884,4.649162292480469e-05,0.04303999999999908,False
39,Br6Rh2Te12,False,False,0.1226239800453186,0.1226239800453186,-0.7085342407226562,8.706003427505493e-06,1.9999999999686935e-05,False
40,Ru4Te8,False,False,0.2427443265914917,0.2427443265914917,5.726703111719189e-09,2.397596836090088e-05,0.0004999999999997229,False
41,MoTe4W,False,False,0.12453865259885788,0.12453865259885788,1.1874489302954316e-07,6.713950369885424e-06,1.0000000000000026e-05,False
42,Te3,False,False,1.3485538959503174,1.3485538959503174,-15.965056419372559,2.86102294921875e-06,0.023999999999999577,False
43,PbSb2Te4,False,False,0.7046226263046265,0.7046226263046265,-1.7304023504257202,8.463859558105469e-06,0.1548199999999973,False
44,Os4Sb4Te4,False,False,0.22028706967830658,0.22028706967830658,-3.744666798866092e-07,2.372264862060547e-05,4.000000000026205e-05,False
