split,raw_rmse,raw_mae,raw_r2,folded_rmse,folded_mae,folded_r2
train,15.989615843493032,3.1164951030014616,0.024585570182986127,3.3268341863084085,0.3721852820198571,0.9433978059278628
valid,14.324523930372793,2.7411437196062427,0.013106773425748952,2.929940685703771,0.32219472246975733,0.944322668520473
test,17.885062665216513,2.968656064670816,0.010670268906158409,2.613573630113944,0.23538259190454522,0.9706202919730229
all,16.032382385369793,3.0633980917694457,0.02162277022578618,3.22284576254885,0.35326180892989734,0.9466845765215489
