split,raw_rmse,raw_mae,raw_r2,folded_rmse,folded_mae,folded_r2
train,14.165872177950586,3.3074662906737373,0.10197765154541905,3.977704045439398,0.9239633566483918,0.9204258397958827
valid,13.964958147999631,3.413699816640581,4.924738925760064e-05,4.628720375396487,1.2820040178395464,0.8700751421479297
test,13.285743330575174,3.0980149374323647,0.24656354269163616,5.134361150352309,1.259882604651155,0.8962245175180723
all,14.058898060862381,3.2970631399639423,0.10183077577798993,4.178275645592749,0.9943353157232927,0.9129287726240687
