model,split,raw_rmse,raw_mae,raw_r2,folded_rmse,folded_mae,folded_r2
MACE-Field-MP-Ferroelectrics.model,train,14.165872177950586,3.3074662906737373,0.10197765154541905,3.977704045439398,0.9239633566483918,0.9204258397958827
MACE-Field-MP-Ferroelectrics.model,valid,13.964958147999631,3.413699816640581,4.924738925760064e-05,4.628720375396487,1.2820040178395464,0.8700751421479297
MACE-Field-MP-Ferroelectrics.model,test,13.285743330575174,3.0980149374323647,0.24656354269163616,5.134361150352309,1.259882604651155,0.8962245175180723
MACE-Field-MP-Ferroelectrics.model,all,14.058898060862381,3.2970631399639423,0.10183077577798993,4.178275645592749,0.9943353157232927,0.9129287726240687
MACEField-omat-dielectric.model,train,15.989615843493032,3.1164951030014616,0.024585570182986127,3.3268341863084085,0.3721852820198571,0.9433978059278628
MACEField-omat-dielectric.model,valid,14.324523930372793,2.7411437196062427,0.013106773425748952,2.929940685703771,0.32219472246975733,0.944322668520473
MACEField-omat-dielectric.model,test,17.885062665216513,2.968656064670816,0.010670268906158409,2.613573630113944,0.23538259190454522,0.9706202919730229
MACEField-omat-dielectric.model,all,16.032382385369793,3.0633980917694457,0.02162277022578618,3.22284576254885,0.35326180892989734,0.9466845765215489
