basis_label,response_label,mode_index,frequency_cm-1,alpha_xx_prime,alpha_yy_prime,alpha_zz_prime,alpha_xy_prime,alpha_xz_prime,alpha_yz_prime,max_cartesian_displacement_A,rms_cartesian_displacement_A,iso_derivative,anisotropy_sq,frobenius_norm,raman_activity
direct,direct,0,-22.166627348347888,-0.0011737554032142938,0.00075967501914187,-0.0005885805953476098,-7.23185686792011e-05,-6.396830286735779e-05,-0.00011974135014778536,0.009058810855478473,0.0028171687084008823,-0.00033422032647334454,3.020167708176533e-06,0.0015324995330074991,2.616781915549344e-05
direct,direct,4,39.53688564266939,-0.00034221030610237513,-1.008582344419473e-05,-0.0008470190886533668,2.2316947140415557e-06,0.00018918737586991676,-0.00016722417096865557,0.003661760983062335,0.0027473861532586728,-0.0003997717393999789,7.240802356856204e-07,0.0009809039137409947,1.2260346612829152e-05
direct,direct,5,54.56753861757706,0.0001414968754953616,7.007195079289374e-05,9.051325901676677e-05,-2.0579057302424044e-05,-0.00017812687554293418,3.286715226845111e-05,0.004359373975748081,0.0027323411600257627,0.00010069402843500737,1.0375814131509244e-07,0.0003155787640153751,1.1825749205168004e-06
direct,direct,6,59.45478828753054,-0.00015628805588252526,0.00017552384844021773,5.430491223701317e-05,8.652197379862574e-05,4.790315141934846e-05,0.00011836655790195896,0.0061580811146867065,0.002779034223826704,2.451356826490188e-05,1.5594550196937804e-07,0.0003252174857949975,1.1186596900941565e-06
direct,direct,7,62.95600198019449,-5.749357099960051e-05,7.240602319602552e-05,6.11264791117172e-05,-6.423206966481364e-05,2.6619641340806102e-05,-2.7504840555457946e-05,0.006079465578951211,0.002742593594445796,2.5346310436047403e-05,3.230856548523422e-08,0.00015318730370035327,2.550695537690614e-07
direct,direct,8,69.32213432581727,-0.00039974389877017735,-0.00042608389512088785,-0.00042356510361440947,-1.5869568173735497e-05,7.489695227235423e-05,0.0003294915897672024,0.005887199396704138,0.002814163093034096,-0.00041646429916849154,3.4391210790239934e-07,0.0008657957473026234,1.0212297817002423e-05
direct,direct,9,70.39059344010377,4.902425424502255e-05,-2.2937168658865303e-05,8.110663658467132e-05,-9.502028708349816e-06,4.494772331926245e-05,0.0002737456534218814,0.0052694219202210025,0.002847990007059922,3.5731240723609524e-05,2.3965822697184356e-07,0.0004044778312905517,1.7350600591670889e-06
direct,direct,10,71.64555917461473,0.0002717928152118354,-4.7994731614542374e-05,0.0002595224098400628,4.041405112530691e-06,-3.5859915822882845e-06,0.00010728638441073225,0.0052478206961353345,0.0028441272786608866,0.00016110683114578528,1.3310939683333374e-07,0.00040817377551038097,2.0997592747159818e-06
direct,direct,11,81.52815325152325,0.0012042055200855994,-0.002058294099988034,0.00029079359890049616,-7.614652414515395e-05,0.00012544499402502993,-0.0005469585908545859,0.005696254373427505,0.002818274010451772,-0.00018776499366731278,9.460314382231424e-06,0.0025323197533806048,6.780870685372983e-05
direct,direct,12,85.73753756691633,-0.00041282627515903947,0.00018906629012160892,-0.000228232983101595,-5.0191278206075196e-05,0.00018229741034301368,8.619907645585935e-05,0.00535799677015552,0.002780956805836444,-0.00015066432271300853,4.147893865453849e-07,0.0005870481003398547,3.925013922053325e-06
direct,direct,13,87.35717620013874,-0.000500658278907995,0.0003070396238280537,-0.00035655541111845324,-0.00012302501787003555,0.00020258651743862365,5.679602186341344e-05,0.006309839325992806,0.0027779151158412443,-0.00018339135539946483,7.349566750055436e-07,0.0007686795719778958,6.658154240625182e-06
direct,direct,14,90.10141492189523,-0.0007509412200012999,-0.0005939558039347315,-0.0009955888633050858,-0.0007279477325425676,0.0009245899784100459,-0.0004189752502317505,0.0059909241781996945,0.002835132482589303,-0.0007801619624137057,4.8038473716961786e-06,0.0022424368390783567,6.1016302543747447e-05
direct,direct,15,99.93348099667855,0.00021705178206432585,0.0003979290892697218,0.00027690984131023555,0.00010020161911582031,-0.00022857463504253792,6.508578694633567e-05,0.0055162219914328845,0.002746780893408921,0.00029729690421476107,2.250412867096762e-07,0.0006443476330678649,5.5526342234733704e-06
direct,direct,16,100.12820816645754,-0.0005505703017816277,0.0005178677143258259,-7.125328483348348e-05,0.00024186917299923833,-0.0002812369221074858,0.00024855989975616517,0.004835287887371612,0.00274962469207564,-3.465195742976176e-05,1.4573148552369481e-06,0.000987494562661372,1.0255238103575768e-05
direct,direct,17,101.6227929569078,-0.0007245493728169627,0.0004274720708297153,-0.0002751038269144246,0.0007963993860206025,-0.0007932674065823666,0.0002520115618017543,0.007437213246036762,0.0028214977431980496,-0.000190727042967224,4.992488761767193e-06,0.0018540378248393943,3.658437755372631e-05
direct,direct,18,109.46878641560434,-2.2305409896894446e-05,-0.00040153020468336464,-0.00036076013795294237,0.0025435094237332965,-0.0020834531180395108,-0.0003075404226184162,0.00571635535928697,0.0028661977888387864,-0.00026153191751106714,3.284440720883164e-05,0.004701219874052423,0.0002329888029362872
direct,direct,19,114.22376966431463,4.202713089762611e-05,-0.00021844661037051516,-4.452002145827194e-05,-0.0010100352398211899,0.0006822974309939105,2.1920522791070776e-06,0.00538218822491551,0.002749359485535379,-7.3646500310387e-05,4.509911044245092e-06,0.0017386427993851886,3.18134486250742e-05
direct,direct,20,117.93417321613713,-0.00021230049266462991,0.00011758127038019595,-7.916410732944357e-05,0.001008600753433058,-0.0008408095984445289,6.131567544809258e-05,0.005246161876879768,0.0028114568522980216,-5.7961109871292514e-05,5.26661562732341e-06,0.0018764742352760427,3.7017486452851906e-05
direct,direct,21,118.37164429418617,-0.0005329385352714766,6.124814736163664e-05,-0.0002967385848884341,-3.3539634562697004e-05,0.00012863564632378593,0.0002066910449810772,0.005441215414752741,0.002801754015347541,-0.000256142990932758,4.4968103942461105e-07,0.000704709198909979,6.10018270715133e-06
direct,direct,22,123.98347018573564,0.0013373301292940454,-0.004145449251570232,-0.0018091448617196804,0.0001083911891320934,-0.00019487784877193618,-0.001975985886924934,0.007343484881993864,0.002874611958631996,-0.0015390879946652891,3.4572485158620025e-05,0.005491329438765123,0.0003486030295998671
direct,direct,23,139.8513910812932,-0.0004922985283639658,-0.00012336957429304185,-0.0005031318444859156,-0.00020351051557679128,2.732183760420719e-05,-4.30337261761015e-05,0.005235890348366121,0.0027501763261012905,-0.00037293331571430777,2.722674009230599e-07,0.0007737889728629995,8.16443841509646e-06
direct,direct,24,140.24340823489734,-0.0003401160309168816,-3.1391991650586704e-06,-0.00016638318293904497,-0.0003858670633736093,-3.50542174050576e-05,5.6510885970053465e-05,0.005169573298406231,0.0027177093629411407,-0.00016987947100699508,5.451395498839173e-07,0.0006708229800760613,5.114633409320163e-06
direct,direct,25,140.4261071754467,-0.0007661722342044985,-0.0003826980613541586,-0.00059101209573309,0.00016034742537678726,-3.4865398113749485e-05,-3.7503186219650306e-05,0.0051767764155475834,0.0027350605171706684,-0.000579960797097249,1.955642714975621e-07,0.0010674454363139149,1.6504903578118374e-05
direct,direct,26,143.42333473265123,-4.173032475462968e-05,0.0006482554019504594,0.00046261781200485075,3.047259159151387e-05,3.218630577085646e-05,0.0012283947206455283,0.006023224908144513,0.002879033623825553,0.0003563809630668935,4.915208710937014e-06,0.001912544896152977,4.012179356420099e-05
direct,direct,27,162.99178764010705,-0.006256142355570704,-0.005945084155709601,-0.006872515222332565,4.0717920805975315e-06,-0.00011090895654395014,0.00020408522691717137,0.006445207912277723,0.0027792307967629383,-0.00635791391120429,8.303050168939822e-07,0.011037334124904638,0.0018248502537210843
direct,direct,28,163.76297032022688,0.003155923689561746,0.003051428044495985,0.003556223221109489,2.8020246399935956e-05,1.9633421045615385e-05,-1.4781862594107423e-05,0.00591149406369213,0.0027494426826940284,0.00325452498505574,2.1715593923971115e-07,0.005649829135577111,0.0004781570711005209
direct,direct,29,165.38373540439378,-0.007393712762022719,-0.007310426317951313,-0.008440326231176076,-0.00012643665566117418,1.5021680252229672e-05,-6.730222794289892e-05,0.0065107029981764245,0.0028298372471288586,-0.007714821770383369,1.2517295057176874e-06,0.013393651898697708,0.002687093479235177
direct,direct,30,170.55849507902315,-0.003177232403761554,-0.00294919345058986,-0.003500913220565449,5.959186786537397e-05,-0.00015971373243407535,4.8025850137097155e-05,0.006716738109833148,0.0027901170785151076,-0.0032091130249722877,3.246813179314936e-07,0.00557778391774858,0.00046570105754262583
direct,direct,31,171.39449616237818,0.0008190309845657051,0.00025449548078815276,0.000321363405781927,-2.871670415031995e-05,-0.0002589715930249001,-0.00012392952582386194,0.006032340285722233,0.0027803688894926576,0.00046496329037859496,5.351707240815442e-07,0.0010026729610995294,1.347478383155684e-05
direct,direct,32,173.08945514738045,0.0018274249505711992,0.0018749879537505176,0.002074008556707252,-3.811040677155784e-05,-5.80751692183181e-05,-4.608379660913514e-05,0.006712863205805647,0.0028102709658464307,0.0019254738203429895,7.2183991325705e-08,0.003342225450109924,0.00016734051241646015
direct,direct,33,176.42946737867834,0.0008233509465105371,0.0008357276988879558,0.000982954931499913,0.0001946814865997384,-7.792009908434481e-05,1.448043199004951e-05,0.006467159853892385,0.0028421568558495494,0.0008806778589661354,1.561975549530882e-07,0.0015591382803079356,3.599508999196455e-05
direct,direct,34,178.2325782149528,0.0001966034148515039,3.7317854457707966e-05,0.00013079736025822797,0.00040538284753747095,7.506369046576765e-05,-0.00015921088280016447,0.007531137537187084,0.002842075924777864,0.00012157287652247994,6.051741200057142e-07,0.0006691706107227015,4.901317233807756e-06
